title,company,description,location,url,salary
"Data Analyst","Capital One","Looking for a data analyst to join our risk analytics team. Must have strong SQL skills, experience with Python (Pandas, NumPy), and ability to build dashboards in Power BI or Tableau. Experience with A/B testing and statistical analysis preferred. Will work with datasets of 1M+ records to identify trends and support business decisions. Entry-level candidates with MS in Statistics or related field welcome.","Plano, TX","https://capitalone.com/careers","$65,000 - $85,000"
"Junior Data Scientist","Microsoft","Entry-level data science role on the Azure AI team. Requires Python, scikit-learn, and basic understanding of NLP. Experience with BERT or transformer models is a plus. Will build ML pipelines, run experiments, and collaborate with product teams. MS in CS, Statistics, or related field preferred.","Redmond, WA (Hybrid)","https://microsoft.com/careers","$95,000 - $120,000"
"Business Intelligence Analyst","Deloitte","Join our consulting practice as a BI analyst. Need advanced Excel, SQL, and Power BI skills. Must be able to translate business requirements into dashboards and reports. Experience with ETL pipelines and data validation. Client-facing role requires strong communication skills.","Dallas, TX","https://deloitte.com/careers","$60,000 - $78,000"
"Machine Learning Engineer","Spotify","Build recommendation systems and content understanding models. Requires strong Python, PyTorch or TensorFlow, and experience with large-scale data processing. NLP experience preferred. Must be comfortable with production ML systems, A/B testing, and model monitoring.","Remote (US)","https://spotify.com/careers","$110,000 - $145,000"
"Data Analyst - Healthcare","UnitedHealth Group","Analyze healthcare claims data to identify cost-saving opportunities. SQL required, Python preferred. Experience with Tableau or Power BI dashboards. Must handle PHI data with HIPAA compliance. Statistical analysis and regression modeling skills needed.","Irving, TX","https://uhg.com/careers","$62,000 - $80,000"
"Analytics Engineer","Airbnb","Build and maintain data models using dbt and SQL. Create automated reporting pipelines. Experience with Snowflake or BigQuery preferred. Must understand data modeling best practices. Python scripting for data quality checks.","Remote","https://airbnb.com/careers","$100,000 - $130,000"
"NLP Data Scientist","Amazon","Work on Alexa's natural language understanding team. Requires strong NLP background — BERT, transformers, text classification. Python and PyTorch required. Experience with large-scale training pipelines. MS or PhD preferred.","Seattle, WA","https://amazon.com/careers","$120,000 - $160,000"
"Reporting Analyst","American Airlines","Build operational reporting dashboards for flight operations. Advanced SQL and Excel required. Power BI experience strongly preferred. Will work with large operational datasets to support real-time decision making. Attention to data quality and validation critical.","Fort Worth, TX","https://aa.com/careers","$55,000 - $72,000"
"Data Scientist - Fraud Detection","PayPal","Develop ML models for real-time fraud detection. Requires Python, scikit-learn, and experience with imbalanced datasets (SMOTE, class weights). SQL for feature engineering. Must understand precision-recall tradeoffs in production systems. XGBoost or Random Forest experience preferred.","Austin, TX (Hybrid)","https://paypal.com/careers","$95,000 - $125,000"
"AI/ML Research Intern","NVIDIA","Research internship focused on computer vision or NLP. PyTorch required. Experience with CNNs, transformers, or generative models. Must have published or submitted research. GPU-accelerated computing experience is a plus.","Santa Clara, CA","https://nvidia.com/careers","$45/hour"
